Dimensionality,Model,Split,Distance,Accuracy Mean,Accuracy Std,Time (s),Accuracy %
t-SNE,kNN,40/30/30,manhattan,0.9410000000000001,0.006490377492873577,0.24190759658813477,94.10000000000001
t-SNE,kNN,40/30/30,chebyshev,0.8797499999999999,0.01432654878189439,10.782348394393921,87.975
t-SNE,kNN,40/30/30,chebyshev,0.944,0.0065383484153110315,0.25714898109436035,94.39999999999999
UMAP,Linear,80/10/10,N/A,0.9153650719199501,0.003444546331023668,14.376105308532715,91.53650719199501
UMAP,kNN,80/10/10,euclidean,0.9153650719199501,0.003444546331023668,14.11557936668396,91.53650719199501
UMAP,kNN,80/10/10,euclidean,0.9396178080050032,0.0050052575286328544,0.4459075927734375,93.96178080050032
UMAP,kNN,80/10/10,manhattan,0.9153650719199501,0.003444546331023668,14.335869312286377,91.53650719199501
UMAP,kNN,80/10/10,manhattan,0.939868277048155,0.004790168384963459,0.6674900054931641,93.9868277048155
UMAP,kNN,80/10/10,chebyshev,0.9153650719199501,0.003444546331023668,13.848175764083862,91.53650719199501
UMAP,kNN,80/10/10,chebyshev,0.9399925734834271,0.004200855563677177,0.4455404281616211,93.99925734834271
UMAP,Linear,70/15/15,N/A,0.9149999999999998,0.0027105237087157686,12.888212442398071,91.49999999999999
UMAP,kNN,70/15/15,euclidean,0.9149999999999998,0.0027105237087157686,12.966398000717163,91.49999999999999
UMAP,kNN,70/15/15,euclidean,0.9404285714285715,0.0023299294900428736,0.4165537357330322,94.04285714285714
UMAP,kNN,70/15/15,manhattan,0.9149999999999998,0.0027105237087157686,12.80909276008606,91.49999999999999
UMAP,kNN,70/15/15,manhattan,0.9407142857142856,0.003528311152922386,0.38617968559265137,94.07142857142856
UMAP,kNN,70/15/15,chebyshev,0.9149999999999998,0.0027105237087157686,12.676493167877197,91.49999999999999
UMAP,kNN,70/15/15,chebyshev,0.939857142857143,0.001989769753883444,0.45319628715515137,93.9857142857143
UMAP,Linear,60/20/20,N/A,0.9121666666666666,0.0031001792062897446,11.708643674850464,91.21666666666665
UMAP,kNN,60/20/20,euclidean,0.9121666666666666,0.0031001792062897446,11.795232057571411,91.21666666666665
UMAP,kNN,60/20/20,euclidean,0.9366666666666668,0.003574601764921213,0.3359513282775879,93.66666666666667
UMAP,kNN,60/20/20,manhattan,0.9121666666666666,0.0031001792062897446,11.673879384994507,91.21666666666665
UMAP,kNN,60/20/20,manhattan,0.9369999999999999,0.003519785346990466,0.34284210205078125,93.69999999999999
UMAP,kNN,60/20/20,chebyshev,0.9121666666666666,0.0031001792062897446,11.77262568473816,91.21666666666665
UMAP,kNN,60/20/20,chebyshev,0.9359999999999999,0.003887301263230161,0.3704240322113037,93.6
UMAP,Linear,60/30/10,N/A,0.9194844314706699,0.007435687638551935,12.56046199798584,91.948443147067
UMAP,kNN,60/30/10,euclidean,0.9194844314706699,0.007435687638551935,12.424452304840088,91.948443147067
UMAP,kNN,60/30/10,euclidean,0.9391549902696692,0.007523529857730618,0.34038352966308594,93.91549902696693
UMAP,kNN,60/30/10,manhattan,0.9194844314706699,0.007435687638551935,12.386026620864868,91.948443147067
UMAP,kNN,60/30/10,manhattan,0.9399884626077288,0.006744614820860235,0.3371009826660156,93.99884626077288
UMAP,kNN,60/30/10,chebyshev,0.9194844314706699,0.007435687638551935,12.491227865219116,91.948443147067
